time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-11-16T14:20:00.660Z,35.891,-117.7205,9.21,0.83,ml,10,103,0.0804,0.07,ci,ci39467055,2020-11-16T14:23:50.395Z,"18km ESE of Little Lake, CA",earthquake,0.26,0.63,0.309,9,automatic,ci,ci
2020-11-16T14:13:48.930Z,38.2067,-117.7827,10.5,1.1,ml,11,133.96,0.03,0.21,nn,nn00784619,2020-11-16T14:17:20.968Z,"35 km SE of Mina, Nevada",earthquake,,2.8,,,automatic,nn,nn
2020-11-16T13:52:23.040Z,38.1898,-117.7505,13.4,3.1,ml,48,58.24,0.031,0.11,nn,nn00784615,2020-11-16T14:14:50.161Z,"38 km SE of Mina, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-11-16T13:43:02.960Z,35.8951667,-117.7205,8.06,0.82,ml,13,99,0.07751,0.15,ci,ci39467015,2020-11-16T13:46:34.015Z,"17km ESE of Little Lake, CA",earthquake,0.42,1,0.156,13,automatic,ci,ci
2020-11-16T13:41:10.670Z,19.2136669158936,-155.391006469727,30.8299999237061,1.96,ml,44,163,,0.140000001,hv,hv72231792,2020-11-16T13:46:40.450Z,"9 km E of Pāhala, Hawaii",earthquake,0.58,0.800000012,0.31,7,automatic,hv,hv
2020-11-16T13:40:51.250Z,19.2136669158936,-155.391494750977,32.9199981689453,2.15,ml,45,163,,0.129999995,hv,hv72231787,2020-11-16T13:46:21.830Z,"9 km E of Pāhala, Hawaii",earthquake,0.59,0.779999971,3.41,7,automatic,hv,hv
2020-11-16T13:39:39.810Z,33.1458333,-115.9883333,3.31,0.94,ml,28,53,0.142,0.25,ci,ci39467007,2020-11-16T13:43:30.790Z,"13km E of Ocotillo Wells, CA",earthquake,0.43,2,0.125,17,automatic,ci,ci
2020-11-16T13:38:04.830Z,32.7425003,-115.8251648,7.83,1.39,ml,15,101,0.1248,0.2,ci,ci39466999,2020-11-16T13:41:52.990Z,"16km E of Ocotillo, CA",earthquake,0.42,1.33,0.365,6,automatic,ci,ci
2020-11-16T13:35:53.730Z,19.2220001220703,-155.393173217773,32.5299987792969,2.18,ml,49,156,,0.129999995,hv,hv72231782,2020-11-16T13:47:35.071Z,"9 km ENE of Pāhala, Hawaii",earthquake,0.62,0.819999993,4.04,5,automatic,hv,hv
2020-11-16T13:31:56.670Z,19.2211666107178,-155.394332885742,3.74000000953674,2.97,ml,23,192,,0.289999992,hv,hv72231772,2020-11-16T13:56:42.676Z,"9 km ENE of Pāhala, Hawaii",earthquake,1.68,2.04999995,2.45,13,automatic,hv,hv
2020-11-16T13:31:50.520Z,19.2278333333333,-155.3895,31.88,3.05,md,56,153,,0.11,hv,hv72231777,2020-11-16T13:56:28.935Z,"9 km ENE of Pāhala, Hawaii",earthquake,0.5,0.51,0.140225854086137,24,reviewed,hv,hv
2020-11-16T13:29:50.960Z,34.0405,-117.2365,14.8,1.21,ml,38,49,0.1323,0.22,ci,ci39466983,2020-11-16T13:40:18.780Z,"2km ESE of Loma Linda, CA",earthquake,0.28,0.58,0.145,27,automatic,ci,ci
2020-11-16T13:19:36.140Z,38.7879982,-122.7591629,1.62,1.68,md,30,67,0.01262,0.05,nc,nc73482951,2020-11-16T13:34:06.661Z,"1km NNW of The Geysers, CA",earthquake,0.23,0.37,0.08,9,automatic,nc,nc
2020-11-16T13:17:14.490Z,38.1602,-117.9065,6.5,0.6,ml,11,107.32,0.006,0.04,nn,nn00784613,2020-11-16T13:47:40.332Z,"31 km SE of Mina, Nevada",earthquake,,5.1,,,automatic,nn,nn
2020-11-16T13:14:58.570Z,38.1685,-117.883,4.7,0.6,ml,11,103.15,0.005,0.05,nn,nn00784611,2020-11-16T13:19:00.264Z,"31 km SE of Mina, Nevada",earthquake,,5.8,,,automatic,nn,nn
2020-11-16T12:56:22.900Z,19.2066669464111,-155.457168579102,35.3600006103516,2.38,ml,52,115,,0.119999997,hv,hv72231737,2020-11-16T13:01:52.910Z,"2 km E of Pāhala, Hawaii",earthquake,0.52,0.680000007,2.22,17,automatic,hv,hv
2020-11-16T12:52:18.560Z,17.9601,-66.9838,8,2.23,md,6,199,0.0611,0.11,pr,pr2020321007,2020-11-16T13:06:48.297Z,"6 km ESE of La Parguera, Puerto Rico",earthquake,0.63,0.95,0.31,3,reviewed,pr,pr
2020-11-16T12:46:46.110Z,38.1252,-117.766,13.1,0.9,ml,10,213.65,0.047,0.07,nn,nn00784609,2020-11-16T13:04:39.872Z,"42 km SE of Mina, Nevada",earthquake,,4.8,,,automatic,nn,nn
2020-11-16T12:38:24.250Z,38.8058319,-122.795166,1.25,0.87,md,10,93,0.002136,0.02,nc,nc73482941,2020-11-16T12:53:06.388Z,"5km NW of The Geysers, CA",earthquake,0.31,0.59,,1,automatic,nc,nc
2020-11-16T12:36:51.920Z,35.7573333,-117.5585,10.97,1.36,ml,16,97,0.06635,0.15,ci,ci39466967,2020-11-16T12:40:36.552Z,"14km W of Searles Valley, CA",earthquake,0.33,0.52,0.23,21,automatic,ci,ci
2020-11-16T12:36:11.434Z,-21.3641,170.5557,151.84,4.7,mb,,116,2.355,0.7,us,us7000cfmp,2020-11-16T13:46:13.040Z,"241 km SSE of Isangel, Vanuatu",earthquake,4,7.4,0.081,49,reviewed,us,us
2020-11-16T12:24:50.130Z,38.9876671,-123.3128357,4.85,1.69,md,10,112,0.02784,0.04,nc,nc73482931,2020-11-16T12:39:08.306Z,"5km ESE of Boonville, CA",earthquake,0.34,0.63,0.18,8,automatic,nc,nc
2020-11-16T12:22:27.350Z,17.919,-66.5431,4,2.25,md,9,199,0.139,0.27,pr,pr2020321006,2020-11-16T12:36:00.457Z,"9 km SSW of Potala Pastillo, Puerto Rico",earthquake,0.71,0.85,0.13,6,reviewed,pr,pr
2020-11-16T12:10:27.870Z,35.9336662,-119.8841629,25.65,2.22,md,6,175,0.264,0.01,nc,nc73482926,2020-11-16T12:21:08.197Z,"11km SE of Kettleman City, CA",earthquake,0.6,0.87,0.2,4,automatic,nc,nc
